Tasks, Init Task size, Init Task needed cycle breaking, Methods, min(excl. init), max(excl. init), avg(excl. init), Num methods needed cycle breaking, Num methods with > 1 subtasks, Recursive, TDG Height(root=0), find all prec eff(secs), find new orderings(secs), break cycles and topSort(secs), Preprocessing time, Grounding time, Problem Name
67428, 1, false, 55026, 1, 12, 2.21403, 15612, 48960, true, 10, 0.869285, 0.643624, 0.261608, 1.78299, 1.924654744, Monroe-Partially-Observable/pfile10-p-0028-set-up-shelter-6
68884, 1, false, 56045, 1, 12, 2.2144, 15924, 49852, true, 9, 0.83563, 0.689478, 0.273442, 1.8071, 2.015957940, Monroe-Partially-Observable/pfile11-p-0034-provide-medical-attention-1
67425, 1, false, 55023, 1, 12, 2.21413, 15612, 48961, true, 10, 0.810988, 0.66419, 0.264063, 1.74798, 2.048720463, Monroe-Partially-Observable/pfile12-p-0073-provide-temp-heat-4
67418, 1, false, 55016, 1, 12, 2.21425, 15612, 48960, true, 10, 0.79075, 0.636888, 0.262279, 1.69831, 1.972764972, Monroe-Partially-Observable/pfile13-p-0028-set-up-shelter-1
67801, 1, false, 55304, 1, 12, 2.21725, 15770, 49244, true, 10, 1.06971, 0.83649, 0.312374, 2.2282, 2.130761955, Monroe-Partially-Observable/pfile14-p-0094-fix-power-line-1
73821, 1, false, 60541, 1, 12, 2.19963, 17124, 53620, true, 10, 1.16049, 1.02183, 0.368451, 2.56553, 2.177067990, Monroe-Partially-Observable/pfile15-p-0021-plow-road-1
67425, 1, false, 55021, 1, 12, 2.21434, 15615, 48963, true, 10, 1.00091, 0.701116, 0.318768, 2.02948, 2.505363917, Monroe-Partially-Observable/pfile16-p-0005-clear-road-wreck-2
67428, 1, false, 55026, 1, 12, 2.21403, 15612, 48960, true, 10, 0.937462, 0.757821, 0.31538, 2.02179, 2.115744211, Monroe-Partially-Observable/pfile17-p-0100-fix-water-main-7
67422, 1, false, 55020, 1, 12, 2.21416, 15612, 48960, true, 10, 0.879835, 0.681082, 0.28908, 1.85839, 2.024166523, Monroe-Partially-Observable/pfile18-p-0058-fix-water-main-3
67433, 1, false, 55031, 1, 12, 2.21402, 15757, 48963, true, 10, 0.823234, 0.648771, 0.264289, 1.74443, 2.150080095, Monroe-Partially-Observable/pfile19-p-0054-clear-road-hazard-9
